TARGET	AGENT	COMP1	COMP2	COMP3	NONSE1	NONSE2	NONSE3	NONSE4	NONSE5	COMPnum	NONSEnum	ITEM	SCENE	ORDER	SUBJECT	COND	ACCURACY	TARGET_early	AGENT_early	COMP1_early	COMP2_early	COMP3_early	NONSE1_early	NONSE2_early	NONSE3_early	NONSE4_early	NONSE5_early
NaN	1317	2349	2766	2583	NaN	NaN	NaN	NaN	NaN	3	1	34	18	1	8	0	1	NaN	NaN	NaN	NaN	858	NaN	NaN	NaN	NaN	NaN
3322	1382	2167	1686	NaN	NaN	NaN	NaN	NaN	NaN	3	1	80	16	2	8	2	1	NaN	550	NaN	NaN	320	7	NaN	NaN	NaN	NaN
NaN	3362	NaN	NaN	NaN	4374	1787	1315	1518	NaN	0	5	40	24	3	8	0	1	NaN	408	NaN	NaN	NaN	NaN	NaN	NaN	229	NaN
1197	3061	1780	1521	2619	NaN	NaN	NaN	NaN	NaN	3	0	7	7	4	8	1	1	72	105	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1271	1014	NaN	3550	3986	NaN	NaN	NaN	NaN	NaN	3	1	8	8	5	8	1	1	415	783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3615	3041	NaN	1235	1018	NaN	NaN	NaN	NaN	NaN	3	0	75	11	6	8	2	1	NaN	252	NaN	NaN	553	NaN	NaN	NaN	NaN	NaN
NaN	1360	NaN	NaN	NaN	2395	919	1077	1835	NaN	0	5	43	27	7	8	0	1	NaN	7	NaN	NaN	NaN	511	886	NaN	NaN	NaN
NaN	1163	NaN	NaN	NaN	887	NaN	NaN	NaN	NaN	0	4	39	23	8	8	0	1	NaN	NaN	NaN	NaN	NaN	844	291	NaN	NaN	NaN
NaN	NaN	942	2557	NaN	3082	NaN	NaN	NaN	NaN	2	2	38	22	9	8	0	1	NaN	7	890	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1532	1965	1040	1330	NaN	NaN	NaN	NaN	NaN	NaN	3	0	4	4	10	8	1	1	7	804	349	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1689	NaN	NaN	1246	962	NaN	NaN	NaN	NaN	NaN	3	1	3	3	11	8	1	1	NaN	7	NaN	NaN	914	516	NaN	NaN	NaN	NaN
NaN	907	1782	NaN	NaN	1557	1280	NaN	NaN	NaN	1	3	33	17	12	8	0	1	NaN	250	697	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	3559	1028	NaN	NaN	2500	1346	NaN	NaN	NaN	2	2	48	32	13	8	0	1	NaN	484	696	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1216	2057	1727	2285	NaN	NaN	NaN	NaN	NaN	3	1	36	20	14	8	0	1	NaN	7	655	NaN	NaN	NaN	NaN	NaN	NaN	NaN
821	NaN	2114	1162	NaN	NaN	NaN	NaN	NaN	NaN	3	1	5	5	15	8	1	1	792	7	500	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1256	2908	NaN	2184	NaN	1489	NaN	NaN	NaN	NaN	3	1	1	1	16	8	1	1	1230	588	NaN	NaN	303	NaN	NaN	NaN	NaN	NaN
1371	3384	1618	1873	1109	NaN	NaN	NaN	NaN	NaN	3	0	76	12	17	8	2	1	NaN	264	NaN	NaN	1085	NaN	NaN	NaN	NaN	NaN
NaN	1622	2757	2345	NaN	2058	1191	2557	NaN	NaN	2	3	37	21	18	8	0	1	NaN	591	NaN	NaN	NaN	317	1142	NaN	NaN	NaN
1386	2632	1020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	78	14	19	8	2	1	NaN	385	989	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	744	1199	2542	NaN	NaN	2883	3579	NaN	NaN	2	3	42	26	20	8	0	1	NaN	695	489	NaN	NaN	7	NaN	NaN	NaN	NaN
1580	2886	1235	1939	950	NaN	NaN	NaN	NaN	NaN	3	0	77	13	21	8	2	1	NaN	482	NaN	7	922	NaN	NaN	NaN	NaN	NaN
NaN	1579	NaN	NaN	NaN	1066	2339	2780	3037	NaN	0	4	35	19	22	8	0	1	NaN	466	NaN	NaN	NaN	1023	7	NaN	NaN	NaN
1014	2653	NaN	NaN	1838	NaN	NaN	NaN	NaN	NaN	3	0	73	9	23	8	2	1	968	7	NaN	NaN	591	NaN	NaN	NaN	NaN	NaN
2226	NaN	NaN	NaN	1093	NaN	NaN	NaN	NaN	NaN	3	1	74	10	24	8	2	1	763	7	NaN	NaN	511	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1768	NaN	NaN	1487	2396	NaN	NaN	NaN	1	4	45	29	25	8	0	1	NaN	442	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2153	1546	NaN	NaN	NaN	893	NaN	NaN	NaN	NaN	3	1	79	15	26	8	2	1	NaN	7	NaN	NaN	NaN	855	NaN	NaN	NaN	NaN
913	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	6	6	27	8	1	1	872	7	613	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	3940	3417	NaN	NaN	2084	1080	NaN	1811	NaN	1	4	46	30	28	8	0	1	NaN	7	NaN	NaN	NaN	NaN	1033	NaN	NaN	NaN
