AID,Condition,SceneID,Sentence,Von,Voff,Don,Non,Noff,TARGET,AGENT,COMP1,COMP2,COMP3,NONSENSE1,NONSENSE2,NONSENSE3,NONSENSE4,NONSENSE5,COMPnum,NONSEnum
1,1,1,arrest-search1,1087.9,1650.933,1650.933,1752.086,2276.803,1040   350  1224   940,8  338  208  950,224    2  694  370,822   268  1028   390,464  424  596  614,594  768  786  928,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
2,1,2,bathe-touch1,782.57,1332.7,1332.7,1470.912,2134.762,474  654  686  952,10    4  374  710,540  298  742  646,850   582  1170   834,904   188  1270   490,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
3,1,3,bounce-throw1,816.65,1305.198,1305.198,1467.706,2030.567,942   370  1140   570,514  134  764  838,878   820  1198   922,266  834  386  936,66  610  202  698,32    2  336  248,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
4,1,4,climb-photograph1,896.588,1438.953,1438.953,1529.303,2115.51,368  154  986  518,1034   612  1182   952,666  564  908  756,324  620  442  832,80   50  204  186,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
5,1,5,drink-try1,940.229,1305.032,1305.032,1543.429,2088.345,304  718  416  906,576  106  770  654,88  494  258  670,648  816  742  956,910   786  1040   926,134   16  288  324,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
6,1,6,eat-move1,928.257,1246.299,1246.299,1458.327,1890.522,36  654  340  804,484  104  824  448,34  334  228  454,950   424  1094   568,672  656  878  776,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
7,1,7,fry-grab1,1111.67,1659.899,1659.899,1772.132,2331.066,644  712  820  850,542  310  736  684,206  606  356  784,366  736  580  816,870   640  1060   808,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
8,1,8,inject-check1,971.617,1592.87,1592.87,1794.617,2405.034,546  546  828  960,116   32  358  730,546  112  750  300,852   156  1000   294,1126    90  1240   306,1046   740  1226   956,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
9,1,9,play-dust1,793.693,1241.406,1241.406,1355.808,2049.569,14   14  426  492,522   74  702  690,824   108  1138   394,752   612  1258   930,120  630  306  760,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
10,1,10,read-open1,880.494,1306.444,1306.444,1508.202,1955.624,992   576  1254   714,492  110  700  818,44    4  260  410,328  756  476  960,824  662  966  834,658  834  780  956,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
11,1,11,repair-wipe1,755.06,1468.004,1468.004,1563.34,2680.907,906    10  1256   426,124   46  470  864,548   22  714  434,972   798  1146   904,720  574  794  740,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
12,1,12,ring-kick1,969.619,1508.229,1508.229,1659.568,2204.15,274  644  448  840,278  164  582  598,600  236  704  366,766  388  910  522,672  572  828  772,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
13,1,13,sail-watch1,886.286,1513.784,1513.784,1641.657,2251.746,62  272  212  472,1006   350  1222   944,320   22  520  224,454  422  698  532,824   108  1092   224,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
14,1,14,smoke-collect1,888.664,1510.723,1510.723,1623.825,2568.662,600  234  690  358,14   58  314  808,782  276  938  362,1020   190  1234   362,1020   718  1254   960,440   20  580  204,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
15,1,15,walk-feed1,789.788,1328.731,1328.731,1502.643,2034.15,48  284  384  610,516   90  796  710,1022   256  1172   504,852   644  1268   920,412  744  558  942,90  738  228  880,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
16,1,16,wear-forget1,1302.37,1763.417,1763.417,1879.353,2422.948,36  444  140  618,948     2  1280   660,236   62  446  196,466   42  574  170,618   62  800  158,494  418  842  838,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
33,0,17,filler-fold,872.378,1551.757,1551.757,1644.55,2428.707,0 0 0 0 ,656   92  956  676,1000   188  1224   454,0 0 0 0 ,0 0 0 0 ,104  508  258  634,306  490  422  606,1054   658  1176   872,0 0 0 0,0 0 0 0,1,3
34,0,18,filler-hear,1061.008,1544.645,1544.645,1681.464,2412.063,0 0 0 0 ,938    14  1280   620,450  164  650  376,58  400  270  600,380  480  576  654,680  472  782  616,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
