image_name,object_type,object_pixel_height,object_pixel_width,bottom_object_distance,top_object_distance,left_object_distance,right_object_distance
c1,subject,696,287,777,81,1027,1314
c1,distractor.object.1,232,222,586,354,153,375
c1,target.object,316,358,976,660,460,818
c1,distractor.object.2,226,339,1350,1124,233,572
c1,distractor.object.3,130,474,1130,1000,1225,1699
c2,subject,922,253,1256,334,1540,1793
c2,distractor.object.1,145,185,947,802,1260,1445
c2,distractor.object.2,176,94,947,771,1017,1111
c2,target.object,201,121,916,715,751,872
c2,distractor.object.3,407,223,1266,859,386,609
c2,distractor.object.4,561,269,1051,490,80,349
c3,subject,807,323,1219,412,1488,1811
c3,distractor.object.1,264,473,904,640,938,1411
c3,distractor.object.2,277,330,1437,1160,807,1137
c3,distractor.object.3,214,206,1192,978,527,733
c3,distractor.object.4,490,520,725,235,404,924
c3,target.object,786,230,1345,559,149,379
c4,subject,592,461,1047,455,708,1169
c4,target.object,452,361,1418,966,92,453
c4,distractor.object.1,312,429,520,208,1294,1723
c4,distractor.object.2,654,468,681,27,92,560
c4,distractor.object.3,376,455,1392,1016,1319,1774
c5,subject,591,177,758,167,700,877
c5,target.object,276,288,802,526,1182,1470
c5,distractor.object.1,179,168,1038,859,1626,1794
c5,distractor.object.2,252,186,1332,1080,1156,1342
c5,distractor.object.3,502,750,1412,910,128,878
c5,distractor.object.4,206,361,836,630,78,439
c6,subject,620,263,1171,551,497,760
c6,target.object,767,1015,817,50,860,1875
c6,distractor.object.1,310,308,404,94,338,646
c6,distractor.object.2,414,266,1400,986,1539,1805
c6,distractor.object.3,812,316,1404,592,37,353
c7,subject,373,298,858,485,973,1271
c7,target.object,106,210,966,860,457,667
c7,distractor.object.1,79,211,955,876,1342,1553
c7,distractor.object.2,188,151,986,798,745,896
c7,distractor.object.3,239,208,989,750,143,351
c8,subject,1019,484,1273,254,0,484
c8,target.object,419,264,1336,917,1425,1689
c8,distractor.object.1,321,329,522,201,518,847
c8,distractor.object.2,400,263,528,128,1497,1760
c8,distractor.object.3,176,221,656,480,1020,1241
c8,distractor.object.4,297,224,1397,1100,792,1016
c9,subject,814,454,1456,642,89,543
c9,target.object,514,609,590,76,1097,1706
c9,distractor.object.1,274,541,1411,1137,1280,1821
c9,distractor.object.2,240,315,472,232,258,573
c9,distractor.object.3,257,283,1457,1200,799,1082
c10,subject,530,525,690,160,242,767
c10,target.object,346,325,1418,1072,1043,1368
c10,distractor.object.1,560,400,628,68,1352,1752
c10,distractor.object.2,371,329,1351,980,155,484
c10,distractor.object.3,320,206,1070,750,733,939
c10,distractor.object.4,344,339,1036,692,1376,1715
c11,subject,962,278,1484,522,575,853
c11,target.object,597,431,815,218,1353,1784
c11,distractor.object.1,270,284,311,41,794,1078
c11,distractor.object.2,323,278,840,517,45,323
c11,distractor.object.3,279,205,1395,1116,1152,1357
c12,subject,487,462,1068,581,705,1167
c12,target.object,295,247,750,455,149,396
c12,distractor.object.1,295,296,751,456,1431,1727
c12,distractor.object.2,316,358,1359,1043,218,576
c12,distractor.object.3,291,235,1358,1067,1241,1476
c13,subject,603,216,1218,615,948,1164
c13,target.object,466,515,1217,751,1360,1875
c13,distractor.object.1,343,290,409,66,100,390
c13,distractor.object.2,375,385,393,18,1323,1708
c13,distractor.object.3,275,731,1212,937,98,829
c14,subject,928,320,1221,293,1402,1722
c14,target.object,130,115,728,598,1004,1119
c14,distractor.object.1,163,167,732,569,242,409
c14,distractor.object.2,60,183,725,665,602,785
c14,distractor.object.3,229,229,1215,986,461,690
c14,distractor.object.4,241,244,292,51,510,754
c15,subject,745,436,1500,755,1355,1791
c15,target.object,248,364,1000,752,608,972
c15,distractor.object.1,263,255,343,80,1042,1297
c15,distractor.object.2,250,420,1500,1250,55,475
c15,distractor.object.3,234,276,1500,1266,845,1121
c15,distractor.object.4,146,145,958,812,80,225
c16,subject,1049,311,1400,351,75,386
c16,target.object,199,310,1406,1207,1230,1540
c16,distractor.object.1,238,254,998,760,1621,1875
c16,distractor.object.2,141,203,1020,879,937,1140
c16,distractor.object.3,136,212,1030,894,1257,1469
c16,distractor.object.4,385,401,837,452,567,968
