subject_id,relation,condition,normalized_quadrant,proportion
59e5a69916ecc200016fefdb,inter,fixed,critical,0.2646560230936327
59e5a69916ecc200016fefdb,inter,fixed,first,0.24141716313162398
59e5a69916ecc200016fefdb,inter,fixed,second,0.2986026565078232
59e5a69916ecc200016fefdb,inter,fixed,third,0.19532415726692012
59e5a69916ecc200016fefdb,inter,free,critical,0.28377037165659025
59e5a69916ecc200016fefdb,inter,free,first,0.25316522162962524
59e5a69916ecc200016fefdb,inter,free,second,0.2538139073329289
59e5a69916ecc200016fefdb,inter,free,third,0.20925049938085558
59e5a69916ecc200016fefdb,intra,fixed,critical,0.27299474748146935
59e5a69916ecc200016fefdb,intra,fixed,first,0.24096872156508176
59e5a69916ecc200016fefdb,intra,fixed,second,0.24735071690934354
59e5a69916ecc200016fefdb,intra,fixed,third,0.23868581404410535
59e5a69916ecc200016fefdb,intra,free,critical,0.2764778393481609
59e5a69916ecc200016fefdb,intra,free,first,0.217515519523974
59e5a69916ecc200016fefdb,intra,free,second,0.270881989790586
59e5a69916ecc200016fefdb,intra,free,third,0.23512465133727914
5af71feee066a4000113555f,inter,fixed,critical,0.244175234899762
5af71feee066a4000113555f,inter,fixed,first,0.2846083777920575
5af71feee066a4000113555f,inter,fixed,second,0.2288894361514308
5af71feee066a4000113555f,inter,fixed,third,0.24232695115674968
5af71feee066a4000113555f,inter,free,critical,0.3078615944860678
5af71feee066a4000113555f,inter,free,first,0.2530611220703404
5af71feee066a4000113555f,inter,free,second,0.21578006177626644
5af71feee066a4000113555f,inter,free,third,0.22329722166732532
5af71feee066a4000113555f,intra,fixed,critical,0.34313505034002784
5af71feee066a4000113555f,intra,fixed,first,0.22716258735952016
5af71feee066a4000113555f,intra,fixed,second,0.20098737313885182
5af71feee066a4000113555f,intra,fixed,third,0.22871498916160016
5af71feee066a4000113555f,intra,free,critical,0.24475282273524052
5af71feee066a4000113555f,intra,free,first,0.2513918205492653
5af71feee066a4000113555f,intra,free,second,0.2563809437487457
5af71feee066a4000113555f,intra,free,third,0.24747441296674852
5bb625693e969700019bd28f,inter,fixed,critical,0.2461513874519238
5bb625693e969700019bd28f,inter,fixed,first,0.2607962777896149
5bb625693e969700019bd28f,inter,fixed,second,0.19117807470388887
5bb625693e969700019bd28f,inter,fixed,third,0.3018742600545724
5bb625693e969700019bd28f,inter,free,critical,0.3394046694018332
5bb625693e969700019bd28f,inter,free,first,0.25235249983782965
5bb625693e969700019bd28f,inter,free,second,0.18813333289843687
5bb625693e969700019bd28f,inter,free,third,0.2201094978619003
5bb625693e969700019bd28f,intra,fixed,critical,0.3105783324940312
5bb625693e969700019bd28f,intra,fixed,first,0.268182495234145
5bb625693e969700019bd28f,intra,fixed,second,0.16974302465329497
5bb625693e969700019bd28f,intra,fixed,third,0.25149614761852884
5bb625693e969700019bd28f,intra,free,critical,0.32333347303780224
5bb625693e969700019bd28f,intra,free,first,0.16696953097798325
5bb625693e969700019bd28f,intra,free,second,0.17776830827656195
5bb625693e969700019bd28f,intra,free,third,0.33192868770765255
5c6cb4163023800001e71898,inter,fixed,critical,0.27366923925575776
5c6cb4163023800001e71898,inter,fixed,first,0.25789337114084815
5c6cb4163023800001e71898,inter,fixed,second,0.21004914330723318
5c6cb4163023800001e71898,inter,fixed,third,0.2583882462961609
5c6cb4163023800001e71898,inter,free,critical,0.22815427110302808
5c6cb4163023800001e71898,inter,free,first,0.2779499161848012
5c6cb4163023800001e71898,inter,free,second,0.2080425694194754
5c6cb4163023800001e71898,inter,free,third,0.2858532432926953
5c6cb4163023800001e71898,intra,fixed,critical,0.24358391240206023
5c6cb4163023800001e71898,intra,fixed,first,0.21184424574729172
5c6cb4163023800001e71898,intra,fixed,second,0.2779967736477653
5c6cb4163023800001e71898,intra,fixed,third,0.26657506820288274
5c6cb4163023800001e71898,intra,free,critical,0.28546267280097276
5c6cb4163023800001e71898,intra,free,first,0.27758140750061977
5c6cb4163023800001e71898,intra,free,second,0.1940531699303551
5c6cb4163023800001e71898,intra,free,third,0.24290274976805237
5c7c3a866fa756000182443e,inter,fixed,critical,0.23183180292867236
5c7c3a866fa756000182443e,inter,fixed,first,0.2542060641802384
5c7c3a866fa756000182443e,inter,fixed,second,0.2647019506614781
5c7c3a866fa756000182443e,inter,fixed,third,0.24926018222961116
5c7c3a866fa756000182443e,inter,free,critical,0.28790026845367
5c7c3a866fa756000182443e,inter,free,first,0.2583152202649321
5c7c3a866fa756000182443e,inter,free,second,0.2171768849909716
5c7c3a866fa756000182443e,inter,free,third,0.23660762629042628
