Subject_ID,date,time,action,notes,keep
80671,6/23/22,10:00-10:30am,credit granted,,1
81328,6/27/22,9:30-10:00am,no show (excused),,0
78766,6/28/22,2:00-2:30pm,credit granted,,1
69313,6/28/22,3:00-3:30pm,no show (excused),,0
77386,6/29/22,12:00-12:30pm,credit granted,,1
76237,7/1/22,9:30-10:30am,credit granted,,1
81370,7/1/22,12:30-1:00pm,no show (excused),,0
81403,7/22/22,9:00-9:30am,no show (excused),,0
77407,9/6/22,6:00-6:30pm,credit granted,,1
77641,9/6/22,6:30-7:00pm,credit granted,,1
81448,9/7/22,8:00-8:30am,credit granted,,1
77719,9/7/22,8:30-9:00am,credit granted,,1
81496,9/7/22,10:30-11:00am,credit granted,,1
73348,9/7/22,2:30-3:00pm,credit granted,,1
76723,9/7/22,3:00-3:30pm,credit granted,,1
73447,9/7/22,3:30-4:00pm,credit granted,,1
81997,9/7/22,4:00-4:30pm,credit granted,,1
76987,9/7/22,5:30-6:00pm,credit granted,,1
81502,9/7/22,6:00-6:30pm,credit granted,,1
78289,9/8/22,4:30-5:00pm,credit granted,,1
80440,9/8/22,5:30-6:00pm,credit granted,,1
82048,9/9/22,9:00-9:30am,credit granted,,1
81478,9/9/22,9:30-10:00am,credit granted,,1
78637,9/9/22,10:00-10:30am,credit granted,,1
81475,9/9/22,10:30-11:00am,no show (excused),,0
78499,9/9/22,11:30am-12:00pm,credit granted,,1
76732,9/9/22,12:30-1:00pm,credit granted,,1
81061,9/9/22,1:00-1:30pm,credit granted,,1
81892,9/9/22,4:00-4:30pm,no show (excused),,0
81583,9/12/22,10:30-11:00am,credit granted,,1
73387,9/12/22,3:30-4:00pm,credit granted,,1
82150,9/12/22,4:00-4:30pm,credit granted,,1
77848,9/12/22,4:30-5:00pm,credit granted,,1
79507,9/13/22,12:00-12:30pm,no show (excused),,0
74275,9/13/22,12:30-1:00pm,no show(excused),,0
82207,9/14/22,4:00-4:30pm,credit granted,,1
82078,9/14/22,4:30-5:00pm,credit granted,,1
82027,9/14/22,5:00-5:30pm,credit granted,,1
50095,9/14/22,5:30-6:00pm,no show (excused),,0
81679,9/15/22,12:00-12:30pm,credit granted,,1
76318,9/15/22,12:30-1:00pm,credit granted,,1
82171,9/16/22,9:00-9:30am,credit granted,,1
77356,9/16/22,9:30-10:00am,credit granted,,1
76720,9/16/22,10:00-10:30am,credit granted,,1
82141,9/16/22,10:30-11:00am,credit granted,,1
73291,9/16/22,11:00-11:30am,credit granted,,1
82195,9/16/22,1:30-2:00pm,credit granted,,1
82423,12/2/22,9:00-9:30am,no show (unexcused),,0
81067,12/2/22,9:30-10:00am,credit granted,,1
79033,12/2/22,10:00-10:30am,no show (unexcused),,0
81556,12/2/22,10:30-11:00am,credit granted,,1
78616,12/2/22,11:00-11:30am,credit granted,,1
83071,12/2/22, 11:30am-12:00pm,credit granted,,1
81880,12/5/22,4:00-4:30pm,credit granted,,1
81865,12/5/22,4:30-5:00pm,credit granted, had to restart because screen froze at 2nd calibration (mouse click + eye movement),0
82897,12/5/22,5:00-5:30pm,no show (unexcused),,0
77434,12/6/22,5:30-6:00pm,no show (unexcused),,0
78145,12/6/22,6:00-6:30pm,credit granted, had to restart because screen froze at 2nd calibration (eye movement),0
82996,12/6/22,6:30-7:00pm,credit granted,,1
73408,12/6/22,7:00-7:30pm,credit granted,,1
83077,12/6/22,7:30-8:00pm,credit granted,,1
79735,12/7/22,3:00-3:30pm,no show (unexcused),,0
79483,12/7/22,3:30-4:00pm,credit granted,,1
81544,12/7/22,4:00-4:30pm,no show (unexcused),,0
78592,12/7/22,4:30-5:00pm,no show (unexcused),,0
79588,12/8/22,3:30-4:00pm,credit granted,,1
67873,12/8/22,4:00-4:30pm,no show (unexcused),,0
76921,12/8/22,4:30-5:00pm,credit granted,,1
80893,12/8/22,5:00-5:30pm,credit granted,,1
77245,12/8/22,5:30-6:00pm,no show (unexcused),,0
79192,12/8/22,6:00-6:30pm,credit granted,,1
83011,12/8/22,6:30-7:00pm,no show (unexcused),,0
69163,12/8/22,7:00-7:30pm,no show (unexcused),,0
83491,1/30/23,3:30-4:00pm,credit granted," screen freezes at ""make the fish eat the lollipop""",0
82897,1/30/23,4:00-4:30pm,credit granted,,1
82204,1/31/23,10:30-11:00am,credit granted,,1
83293,1/31/23,11:00-11:30am,credit granted,,1
83503,2/1/23,1:00-1:30pm,no show (unexcused),,0
83509,2/1/23,1:30-2:00pm,credit granted,,1
79267,2/2/23,10:30-11:00am,no show(unexcused),,0
83341,2/2/23,11:00-11:30am,credit granted,,1
81511,3/16/23,10:30-11:00am,credit granted,,1
81625,3/17/23,9:30-10:00am,credit granted,,1
84043,3/22/23,2:00-2:30pm,credit granted,,1
79297,3/23/23,10:30-11:00am,no show (unexcused),,0
71593,4/26/23,9:00-9:30am,credit granted,,1
84319,4/26/23,10:30-11:00am,credit granted,,1
83440,4/26/23,11:00-11:30am,credit granted,,1
79000,4/26/23,11:30am-12:00pm,credit granted,,1
83029,4/26/23,12:00-12:30pm,no show (unexcused),,0
83698,4/26/23,1:30-2:00pm,credit granted, participant accidentally closed the tab -  restarted,0
79144,4/26/23,2:00-2:30pm,credit granted, facial recognition is not working -  restarted,0
84307,4/26/23,2:30-3:00pm,credit granted,,1
83605,4/28/23,9:30-10:00am,no show (unexcused),,0
,,,,,64
