Subject_ID,date,start_time,end_time,action,notes,keep,end_date_time,PSTtime,other_tz_time,order
80671,6/23/22,10:00,10:30am,credit granted,NA,1,6/23/22 10:30am,2022-06-23T10:30:00Z,2022-06-23T09:30:00Z,1
78766,6/28/22,2:00,2:30pm,credit granted,NA,1,6/28/22 2:30pm,2022-06-28T02:30:00Z,2022-06-28T01:30:00Z,1
77386,6/29/22,12:00,12:30pm,credit granted,NA,1,6/29/22 12:30pm,2022-06-29T12:30:00Z,2022-06-29T11:30:00Z,1
76237,7/1/22,9:30,10:30am,credit granted,NA,1,7/1/22 10:30am,2022-07-01T10:30:00Z,2022-07-01T09:30:00Z,1
77407,9/6/22,6:00,6:30pm,credit granted,NA,1,9/6/22 6:30pm,2022-09-06T06:30:00Z,2022-09-06T05:30:00Z,1
77641,9/6/22,6:30,7:00pm,credit granted,NA,1,9/6/22 7:00pm,2022-09-06T07:00:00Z,2022-09-06T06:00:00Z,2
73348,9/7/22,2:30,3:00pm,credit granted,NA,1,9/7/22 3:00pm,2022-09-07T03:00:00Z,2022-09-07T02:00:00Z,1
76723,9/7/22,3:00,3:30pm,credit granted,NA,1,9/7/22 3:30pm,2022-09-07T03:30:00Z,2022-09-07T02:30:00Z,2
73447,9/7/22,3:30,4:00pm,credit granted,NA,1,9/7/22 4:00pm,2022-09-07T04:00:00Z,2022-09-07T03:00:00Z,3
81997,9/7/22,4:00,4:30pm,credit granted,NA,1,9/7/22 4:30pm,2022-09-07T04:30:00Z,2022-09-07T03:30:00Z,4
76987,9/7/22,5:30,6:00pm,credit granted,NA,1,9/7/22 6:00pm,2022-09-07T06:00:00Z,2022-09-07T05:00:00Z,5
81502,9/7/22,6:00,6:30pm,credit granted,NA,1,9/7/22 6:30pm,2022-09-07T06:30:00Z,2022-09-07T05:30:00Z,6
81448,9/7/22,8:00,8:30am,credit granted,NA,1,9/7/22 8:30am,2022-09-07T08:30:00Z,2022-09-07T07:30:00Z,7
77719,9/7/22,8:30,9:00am,credit granted,NA,1,9/7/22 9:00am,2022-09-07T09:00:00Z,2022-09-07T08:00:00Z,8
81496,9/7/22,10:30,11:00am,credit granted,NA,1,9/7/22 11:00am,2022-09-07T11:00:00Z,2022-09-07T10:00:00Z,9
78289,9/8/22,4:30,5:00pm,credit granted,NA,1,9/8/22 5:00pm,2022-09-08T05:00:00Z,2022-09-08T04:00:00Z,1
