sound,onset_instrument,onset_instrument_article,onset_noun,onset_noun_article,onset_verb,onset_with,duration_instrument,duration_instrument_article,duration_noun,duration_noun_article,duration_verb,duration_with
bop_the_elephant_with_the_napkin.mp3,1710,1640,580,520,0,1390,750,70,760,60,340,140
bop_the_elephant_with_the_spoon.mp3,1870,1800,600,540,0,1440,630,70,750,60,370,230
bop_the_panda_with_the_napkin.mp3,1580,1490,600,520,0,1180,850,90,580,80,360,220
bop_the_panda_with_the_spoon.mp3,2050,1960,1000,790,130,1580,820,90,580,120,460,240
choose_the_cow_with_the_barrette.mp3,1690,1610,750,650,10,1230,610,80,480,100,640,290
choose_the_cow_with_the_pen.mp3,1600,1520,650,580,0,1180,580,80,530,70,510,270
choose_the_squirrel_with_the_barrette.mp3,1570,1510,590,480,0,1240,730,60,650,110,480,160
choose_the_squirrel_with_the_pen.mp3,1610,1540,570,480,0,1210,570,70,640,90,430,200
clean_the_dog_with_the_leaf.mp3,1780,1620,700,614.989,0,1230,480,160,530,85.011,614.989,240
clean_the_dog_with_the_violin.mp3,1850,1720,730,630,100,1370,1240,130,640,100,530,230
clean_the_turtle_with_the_leaf.mp3,1500,1430,550,470,10,1160,480,70,610,80,460,170
clean_the_turtle_with_the_violin.mp3,2570,2480,1540,1450,710,2180,1140,90,640,90,740,220
cuddle_dolphin_with_the_microphone.mp3,1630,1560,520,420,20,1270,1060,70,750,100,400,160
cuddle_the_dolphin_with_the_pen.mp3,1620,1550,530,420,0,1170,550,70,640,110,420,260
cuddle_the_whale_with_the_microphone.mp3,1610,1510,560,480,0,1190,890,100,630,80,420,210
cuddle_the_whale_with_the_pen.mp3,1930,1730,600,450,0,1340,570,120,740,150,450,280
feed_the_duckling_with_the_book.mp3,1480,1420,520,450,60,1170,490,60,650,70,390,150
feed_the_duckling_with_the_lollipop.mp3,1980,1910,940,850,250,1560,933.039,70,620,90,510,200
feed_the_zebra_with_the_book.mp3,2710,2620,1470,1250,440,2060,630,90,590,220,620,560
feed_the_zebra_with_the_lollipop.mp3,1840,1760,770,630,110,1340,840,80,570,140,470,330
feel_the_bear_with_the_candle.mp3,1650,1580,670,550,110,1210,776.417,70,540,120,440,300
feel_the_bear_with_the_pen.mp3,1520,1440,710,580,150,1120,610,80,410,130,430,220
feel_the_leopard_with_the_candle.mp3,1900,1790,760,670,190,1390,820,110,630,90,480,250
feel_the_leopard_with_the_pen.mp3,1850,1780,780,660,200,1360,590,70,580,120,460,260
find_the_bird_with_the_mitten.mp3,1310,1250,640,560,0,1010,500,60,370,80,420,190
find_the_bird_with_the_towel.mp3,1790,1690,840,750,150,1330,780,100,490,90,600,250
find_the_lion_with_the_mitten.mp3,1870,1800,900,780,140,1500,630,70,600,120,550,200
find_the_lion_with_the_towel.mp3,2550,2440,1490,1410,660,2090,800,110,600,80,580,220
hit_the_frog_with_the_cup.mp3,1650,1570,600,520,0,1130,510,80,530,80,430,260
hit_the_frog_with_the_tube.mp3,1320,1240,510,450,0,1020,700,80,510,60,360,140
