subject	randomlyGeneratedNumber	order	trialID	condition	clickedTargetAnimalFirst	clickedTargetInstrumentFirst
1	34	4	22	Equi	1	0
1	34	5	49	mod	0	1
1	34	7	27	Equi	0	1
1	34	8	44	Inst	0	1
1	34	9	8	Equi	0	1
1	34	11	9	Inst	0	1
1	34	12	5	Equi	1	0
1	34	14	50	mod	1	0
1	34	15	11	mod	1	0
1	34	16	19	Equi	1	0
1	34	19	6	Equi	0	1
1	34	20	42	Inst	0	1
1	34	21	17	Equi	0	1
1	34	22	34	Equi	1	0
1	34	23	35	Equi	0	1
1	34	25	10	mod	0	1
1	34	26	2	mod	1	0
1	34	27	39	Inst	0	1
1	34	29	43	Inst	0	1
1	34	30	54	mod	0	1
1	34	34	13	Equi	0	1
1	34	35	15	mod	1	0
1	34	36	41	Inst	0	1
1	34	38	16	Inst	0	1
1	34	39	52	mod	0	1
1	34	41	29	Equi	0	1
1	34	42	32	Equi	0	1
1	34	43	30	Equi	0	1
1	34	46	38	Inst	0	1
1	34	48	40	Inst	0	1
1	34	50	37	Inst	0	1
1	34	52	1	Inst	0	1
1	34	53	47	mod	0	1
1	34	54	31	Equi	0	1
1	34	55	28	Equi	0	1
1	34	56	45	Inst	0	1
1	34	57	7	mod	0	1
1	34	58	23	Inst	0	1
1	34	59	18	Inst	0	1
1	34	60	48	mod	1	0
1	34	63	20	Inst	0	1
1	34	65	51	mod	0	1
1	34	67	12	Inst	0	1
1	34	68	24	mod	1	0
1	34	70	25	Inst	0	1
1	34	71	53	mod	1	0
1	34	72	36	Equi	1	0
1	34	73	21	Equi	0	1
1	34	74	46	mod	0	1
1	34	76	33	Equi	0	1
1	34	77	14	mod	0	1
1	34	79	4	Inst	0	1
1	34	80	3	mod	0	1
1	34	81	26	mod	0	1
2	47	4	22	Equi	0	1
2	47	5	49	mod	0	1
2	47	7	27	Equi	0	1
2	47	8	44	Inst	0	1
2	47	9	8	Equi	0	1
2	47	11	9	Inst	0	1
2	47	12	5	Equi	1	0
2	47	14	50	mod	0	0
2	47	15	11	mod	1	0
2	47	16	19	Equi	1	0
2	47	19	6	Equi	0	1
2	47	20	42	Inst	0	1
2	47	21	17	Equi	0	1
2	47	22	34	Equi	0	1
2	47	23	35	Equi	0	1
2	47	25	10	mod	0	1
2	47	26	2	mod	1	0
2	47	27	39	Inst	0	1
2	47	29	43	Inst	1	0
2	47	30	54	mod	1	0
2	47	34	13	Equi	0	1
2	47	35	15	mod	0	1
2	47	36	41	Inst	0	1
2	47	38	16	Inst	0	1
2	47	39	52	mod	1	0
2	47	41	29	Equi	1	0
2	47	42	32	Equi	1	0
2	47	43	30	Equi	0	1
2	47	46	38	Inst	0	1
2	47	48	40	Inst	0	1
2	47	50	37	Inst	0	1
2	47	52	1	Inst	0	1
2	47	53	47	mod	0	1
2	47	54	31	Equi	1	0
2	47	55	28	Equi	1	0
2	47	56	45	Inst	0	1
2	47	57	7	mod	1	0
2	47	58	23	Inst	0	1
2	47	59	18	Inst	0	1
2	47	60	48	mod	1	0
2	47	63	20	Inst	0	1
2	47	65	51	mod	0	1
2	47	67	12	Inst	0	1
2	47	68	24	mod	1	0
2	47	70	25	Inst	1	0
2	47	71	53	mod	1	0
2	47	72	36	Equi	0	1
2	47	73	21	Equi	1	0
2	47	74	46	mod	1	0
2	47	76	33	Equi	1	0
2	47	77	14	mod	1	0
2	47	79	4	Inst	1	0
2	47	80	3	mod	1	0
2	47	81	26	mod	1	0
3	1	4	22	Equi	1	0
3	1	5	49	mod	1	0
3	1	7	27	Equi	0	1
3	1	8	44	Inst	1	0
3	1	9	8	Equi	1	0
3	1	11	9	Inst	1	0
3	1	12	5	Equi	1	0
3	1	14	50	mod	1	0
3	1	15	11	mod	0	1
3	1	16	19	Equi	1	0
3	1	19	6	Equi	1	0
3	1	20	42	Inst	1	0
3	1	21	17	Equi	1	0
3	1	22	34	Equi	1	0
3	1	23	35	Equi	1	0
3	1	25	10	mod	0	1
3	1	26	2	mod	1	0
3	1	27	39	Inst	1	0
3	1	29	43	Inst	1	0
3	1	30	54	mod	1	0
3	1	34	13	Equi	0	0
3	1	35	15	mod	1	0
3	1	36	41	Inst	1	0
3	1	38	16	Inst	0	1
3	1	39	52	mod	1	0
3	1	41	29	Equi	1	0
3	1	42	32	Equi	0	1
3	1	43	30	Equi	1	0
3	1	46	38	Inst	1	0
3	1	48	40	Inst	0	1
3	1	50	37	Inst	0	1
3	1	52	1	Inst	0	1
3	1	53	47	mod	0	1
3	1	54	31	Equi	1	0
3	1	55	28	Equi	0	1
3	1	56	45	Inst	1	0
3	1	57	7	mod	1	0
3	1	58	23	Inst	1	0
3	1	59	18	Inst	0	1
3	1	60	48	mod	1	0
3	1	63	20	Inst	0	1
3	1	65	51	mod	1	0
3	1	67	12	Inst	0	1
3	1	68	24	mod	1	0
3	1	70	25	Inst	1	0
3	1	71	53	mod	1	0
3	1	72	36	Equi	1	0
3	1	73	21	Equi	1	0
3	1	74	46	mod	1	0
3	1	76	33	Equi	1	0
3	1	77	14	mod	0	1
3	1	79	4	Inst	1	0
3	1	80	3	mod	1	0
3	1	81	26	mod	1	0
4	26	4	22	Equi	1	0
4	26	5	49	mod	0	1
4	26	7	27	Equi	0	1
4	26	8	44	Inst	0	1
4	26	9	8	Equi	1	0
4	26	11	9	Inst	0	1
4	26	12	5	Equi	1	0
4	26	14	50	mod	1	0
4	26	15	11	mod	1	0
4	26	16	19	Equi	1	0
4	26	19	6	Equi	0	1
4	26	20	42	Inst	0	1
4	26	21	17	Equi	0	1
4	26	22	34	Equi	1	0
4	26	23	35	Equi	0	1
4	26	25	10	mod	0	1
4	26	26	2	mod	1	0
4	26	27	39	Inst	0	1
4	26	29	43	Inst	1	0
4	26	30	54	mod	1	0
4	26	34	13	Equi	0	1
4	26	35	15	mod	1	0
4	26	36	41	Inst	0	1
4	26	38	16	Inst	0	1
4	26	39	52	mod	1	0
4	26	41	29	Equi	1	0
4	26	42	32	Equi	1	0
4	26	43	30	Equi	1	0
4	26	46	38	Inst	0	1
4	26	48	40	Inst	0	1
4	26	50	37	Inst	0	1
4	26	52	1	Inst	1	0
4	26	53	47	mod	0	1
4	26	54	31	Equi	1	0
4	26	55	28	Equi	0	1
4	26	56	45	Inst	0	1
4	26	57	7	mod	0	1
4	26	58	23	Inst	0	1
4	26	59	18	Inst	0	0
4	26	60	48	mod	1	0
4	26	63	20	Inst	0	0
4	26	65	51	mod	0	1
4	26	67	12	Inst	0	1
4	26	68	24	mod	1	0
4	26	70	25	Inst	0	1
4	26	71	53	mod	1	0
4	26	72	36	Equi	1	0
4	26	73	21	Equi	1	0
4	26	74	46	mod	1	0
4	26	76	33	Equi	1	0
4	26	77	14	mod	1	0
4	26	79	4	Inst	0	1
4	26	80	3	mod	1	0
4	26	81	26	mod	0	1
5	25	4	22	Equi	1	0
5	25	5	49	mod	1	0
5	25	7	27	Equi	1	0
5	25	8	44	Inst	1	0
5	25	9	8	Equi	0	1
5	25	11	9	Inst	0	1
5	25	12	5	Equi	1	0
5	25	14	50	mod	1	0
5	25	15	11	mod	1	0
5	25	16	19	Equi	1	0
5	25	19	6	Equi	0	1
5	25	20	42	Inst	0	1
5	25	21	17	Equi	1	0
5	25	22	34	Equi	1	0
5	25	23	35	Equi	0	1
5	25	25	10	mod	1	0
5	25	26	2	mod	1	0
5	25	27	39	Inst	0	1
5	25	29	43	Inst	0	1
5	25	30	54	mod	0	1
5	25	34	13	Equi	0	1
5	25	35	15	mod	0	0
5	25	36	41	Inst	1	0
5	25	38	16	Inst	1	0
5	25	39	52	mod	1	0
5	25	41	29	Equi	1	0
5	25	42	32	Equi	1	0
5	25	43	30	Equi	1	0
5	25	46	38	Inst	0	1
5	25	48	40	Inst	1	0
5	25	50	37	Inst	1	0
5	25	52	1	Inst	1	0
5	25	53	47	mod	1	0
5	25	54	31	Equi	1	0
5	25	55	28	Equi	0	1
5	25	56	45	Inst	0	0
5	25	57	7	mod	1	0
5	25	58	23	Inst	0	1
5	25	59	18	Inst	0	0
5	25	60	48	mod	1	0
5	25	63	20	Inst	0	1
5	25	65	51	mod	0	1
5	25	67	12	Inst	0	1
5	25	68	24	mod	0	0
5	25	70	25	Inst	0	1
5	25	71	53	mod	1	0
5	25	72	36	Equi	1	0
5	25	73	21	Equi	0	1
5	25	74	46	mod	1	0
5	25	76	33	Equi	0	1
5	25	77	14	mod	1	0
5	25	79	4	Inst	1	0
5	25	80	3	mod	0	0
5	25	81	26	mod	0	1
6	12	4	22	Equi	0	1
6	12	5	49	mod	0	1
6	12	7	27	Equi	0	1
6	12	8	44	Inst	0	1
6	12	9	8	Equi	0	1
6	12	11	9	Inst	0	1
6	12	12	5	Equi	1	0
6	12	14	50	mod	0	1
6	12	15	11	mod	1	0
6	12	16	19	Equi	1	0
6	12	19	6	Equi	0	1
6	12	20	42	Inst	0	1
6	12	21	17	Equi	0	1
6	12	22	34	Equi	0	1
6	12	23	35	Equi	0	1
6	12	25	10	mod	0	1
6	12	26	2	mod	1	0
6	12	27	39	Inst	0	1
6	12	29	43	Inst	0	1
6	12	30	54	mod	1	0
6	12	34	13	Equi	1	0
6	12	35	15	mod	1	0
6	12	36	41	Inst	0	1
6	12	38	16	Inst	0	1
6	12	39	52	mod	1	0
6	12	41	29	Equi	0	1
6	12	42	32	Equi	1	0
6	12	43	30	Equi	1	0
6	12	46	38	Inst	0	1
6	12	48	40	Inst	1	0
6	12	50	37	Inst	0	1
6	12	52	1	Inst	0	1
6	12	53	47	mod	1	0
6	12	54	31	Equi	1	0
6	12	55	28	Equi	0	1
6	12	56	45	Inst	0	1
6	12	57	7	mod	1	0
6	12	58	23	Inst	0	1
6	12	59	18	Inst	1	0
6	12	60	48	mod	1	0
6	12	63	20	Inst	1	0
6	12	65	51	mod	0	1
6	12	67	12	Inst	0	1
6	12	68	24	mod	1	0
6	12	70	25	Inst	1	0
6	12	71	53	mod	1	0
6	12	72	36	Equi	1	0
6	12	73	21	Equi	1	0
6	12	74	46	mod	1	0
6	12	76	33	Equi	1	0
6	12	77	14	mod	1	0
6	12	79	4	Inst	1	0
6	12	80	3	mod	1	0
6	12	81	26	mod	1	0
7	21	4	22	Equi	1	0
7	21	5	49	mod	0	1
7	21	7	27	Equi	0	1
7	21	8	44	Inst	0	1
7	21	9	8	Equi	0	1
7	21	11	9	Inst	0	1
7	21	12	5	Equi	1	0
7	21	14	50	mod	1	0
7	21	15	11	mod	1	0
7	21	16	19	Equi	1	0
7	21	19	6	Equi	0	1
7	21	20	42	Inst	0	1
7	21	21	17	Equi	0	1
7	21	22	34	Equi	1	0
7	21	23	35	Equi	1	0
7	21	25	10	mod	1	0
7	21	26	2	mod	1	0
7	21	27	39	Inst	1	0
7	21	29	43	Inst	1	0
7	21	30	54	mod	1	0
7	21	34	13	Equi	1	0
7	21	35	15	mod	1	0
7	21	36	41	Inst	1	0
7	21	38	16	Inst	1	0
7	21	39	52	mod	1	0
7	21	41	29	Equi	1	0
7	21	42	32	Equi	1	0
7	21	43	30	Equi	1	0
7	21	46	38	Inst	1	0
7	21	48	40	Inst	1	0
7	21	50	37	Inst	1	0
7	21	52	1	Inst	0	1
7	21	53	47	mod	0	1
7	21	54	31	Equi	1	0
7	21	55	28	Equi	0	1
7	21	56	45	Inst	0	1
7	21	57	7	mod	1	0
7	21	58	23	Inst	0	1
7	21	59	18	Inst	0	1
7	21	60	48	mod	1	0
7	21	63	20	Inst	0	1
7	21	65	51	mod	1	0
7	21	67	12	Inst	1	0
7	21	68	24	mod	1	0
7	21	70	25	Inst	1	0
7	21	71	53	mod	1	0
7	21	72	36	Equi	1	0
7	21	73	21	Equi	1	0
7	21	74	46	mod	1	0
7	21	76	33	Equi	1	0
7	21	77	14	mod	1	0
7	21	79	4	Inst	1	0
7	21	80	3	mod	1	0
7	21	81	26	mod	1	0
8	49	4	22	Equi	0	1
8	49	5	49	mod	1	0
8	49	7	27	Equi	0	1
8	49	8	44	Inst	0	0
8	49	9	8	Equi	0	0
8	49	11	9	Inst	0	0
8	49	12	5	Equi	1	0
8	49	14	50	mod	1	0
8	49	15	11	mod	0	1
8	49	16	19	Equi	0	1
8	49	19	6	Equi	0	1
8	49	20	42	Inst	0	0
8	49	21	17	Equi	0	0
8	49	22	34	Equi	1	0
8	49	23	35	Equi	0	1
8	49	25	10	mod	1	0
8	49	26	2	mod	1	0
8	49	27	39	Inst	0	0
8	49	29	43	Inst	0	1
8	49	30	54	mod	0	1
8	49	34	13	Equi	0	0
8	49	35	15	mod	0	1
8	49	36	41	Inst	0	1
8	49	38	16	Inst	0	1
8	49	39	52	mod	0	1
8	49	41	29	Equi	0	1
8	49	42	32	Equi	1	0
8	49	43	30	Equi	1	0
8	49	46	38	Inst	0	1
8	49	48	40	Inst	0	1
8	49	50	37	Inst	1	0
8	49	52	1	Inst	0	1
8	49	53	47	mod	0	0
8	49	54	31	Equi	1	0
8	49	55	28	Equi	0	1
8	49	56	45	Inst	0	0
8	49	57	7	mod	0	1
8	49	58	23	Inst	0	0
8	49	59	18	Inst	0	1
8	49	60	48	mod	1	0
8	49	63	20	Inst	1	0
8	49	65	51	mod	0	1
8	49	67	12	Inst	1	0
8	49	68	24	mod	1	0
8	49	70	25	Inst	1	0
8	49	71	53	mod	1	0
8	49	72	36	Equi	1	0
8	49	73	21	Equi	1	0
8	49	74	46	mod	1	0
8	49	76	33	Equi	0	1
8	49	77	14	mod	0	1
8	49	79	4	Inst	1	0
8	49	80	3	mod	0	1
8	49	81	26	mod	0	0
9	16	4	22	Equi	0	0
9	16	5	49	mod	0	1
9	16	7	27	Equi	0	1
9	16	8	44	Inst	1	0
9	16	9	8	Equi	0	1
9	16	11	9	Inst	0	1
9	16	12	5	Equi	1	0
9	16	14	50	mod	0	0
9	16	15	11	mod	1	0
9	16	16	19	Equi	1	0
9	16	19	6	Equi	0	1
9	16	20	42	Inst	0	1
9	16	21	17	Equi	0	1
9	16	22	34	Equi	0	1
9	16	23	35	Equi	0	1
9	16	25	10	mod	0	1
9	16	26	2	mod	1	0
9	16	27	39	Inst	0	1
9	16	29	43	Inst	0	1
9	16	30	54	mod	0	1
9	16	34	13	Equi	0	1
9	16	35	15	mod	0	1
9	16	36	41	Inst	0	1
9	16	38	16	Inst	0	1
9	16	39	52	mod	1	0
9	16	41	29	Equi	0	1
9	16	42	32	Equi	0	1
9	16	43	30	Equi	0	1
9	16	46	38	Inst	0	1
9	16	48	40	Inst	0	1
9	16	50	37	Inst	0	1
9	16	52	1	Inst	0	1
9	16	53	47	mod	0	1
9	16	54	31	Equi	1	0
9	16	55	28	Equi	0	1
9	16	56	45	Inst	0	1
9	16	57	7	mod	1	0
9	16	58	23	Inst	0	1
9	16	59	18	Inst	0	1
9	16	60	48	mod	1	0
9	16	63	20	Inst	0	1
9	16	65	51	mod	0	1
9	16	67	12	Inst	0	1
9	16	68	24	mod	1	0
9	16	70	25	Inst	0	1
9	16	71	53	mod	1	0
