TA	TI	CA	CI	subj	trialID	order	cond
215	470	317	0	1	991	1	9
373	0	888	226	1	992	2	9
1139	0	0	0	1	993	3	9
1091	0	0	0	1	22	4	2
560	617	162	151	1	49	5	1
884	0	385	0	1	995	6	9
481	223	239	267	1	27	7	2
311	1182	0	0	1	44	8	0
706	545	0	0	1	8	9	2
339	0	558	254	1	992	10	9
387	949	0	0	1	9	11	0
1492	0	0	0	1	5	12	2
641	122	482	243	1	993	13	9
1493	0	0	0	1	50	14	1
1196	294	0	0	1	11	15	1
1098	0	0	386	1	19	16	2
459	670	363	0	1	994	17	9
856	0	26	0	1	9917	18	9
0	1461	35	0	1	6	19	2
775	715	0	0	1	42	20	0
305	952	0	0	1	17	21	2
565	0	0	0	1	34	22	2
662	833	0	0	1	35	23	2
728	0	745	0	1	9912	24	9
326	1164	0	0	1	10	25	1
1144	23	0	0	1	2	26	1
272	1220	0	0	1	39	27	0
188	0	0	296	1	998	28	9
34	1120	266	0	1	43	29	0
642	644	0	0	1	54	30	1
496	218	319	0	1	9922	31	9
194	417	754	0	1	9911	32	9
0	213	872	402	1	9913	33	9
201	1085	206	0	1	13	34	2
1043	451	0	0	1	15	35	1
427	1065	0	0	1	41	36	0
624	368	175	0	1	9914	37	9
298	1194	0	0	1	16	38	0
370	644	0	0	1	52	39	1
850	81	0	0	1	9910	40	9
0	1292	202	0	1	29	41	2
0	1492	0	0	1	32	42	2
1033	461	0	0	1	30	43	2
0	42	206	0	1	9924	44	9
513	0	26	290	1	997	45	9
324	1168	0	0	1	38	46	0
538	198	332	400	1	9920	47	9
289	1206	0	0	1	40	48	0
466	218	148	0	1	999	49	9
524	830	0	136	1	37	50	0
0	212	177	460	1	9916	51	9
839	623	0	33	1	1	52	0
345	1069	0	80	1	47	53	1
0	1184	130	0	1	31	54	2
88	1013	0	392	1	28	55	2
702	456	0	0	1	45	56	0
825	616	0	0	1	7	57	1
184	987	0	0	1	23	58	0
125	1025	0	0	1	18	59	0
817	28	195	0	1	48	60	1
316	249	632	146	1	9923	61	9
228	0	828	237	1	9921	62	9
0	926	159	0	1	20	63	0
0	199	10	0	1	9918	64	9
0	1496	0	0	1	51	65	1
0	0	1182	0	1	996	66	9
265	1227	0	0	1	12	67	0
1260	232	0	0	1	24	68	1
431	145	542	0	1	9915	69	9
738	753	0	0	1	25	70	0
1428	0	66	0	1	53	71	1
1493	0	0	0	1	36	72	2
613	366	0	0	1	21	73	2
1496	0	0	0	1	46	74	1
518	0	729	0	1	991	75	9
645	849	0	0	1	33	76	2
569	925	0	0	1	14	77	1
384	0	587	0	1	9919	78	9
750	746	0	0	1	4	79	0
459	862	0	0	1	3	80	1
311	1181	0	0	1	26	81	1
377	395	399	0	2	991	1	9
0	758	0	128	2	992	2	9
1382	0	0	0	2	993	3	9
522	383	0	0	2	22	4	2
381	1050	0	0	2	49	5	1
393	803	0	165	2	995	6	9
206	1137	0	146	2	27	7	2
1001	320	0	0	2	44	8	0
341	947	0	0	2	8	9	2
464	406	83	0	2	992	10	9
0	1493	0	0	2	9	11	0
682	410	397	0	2	5	12	2
439	0	834	0	2	993	13	9
1145	0	0	0	2	50	14	1
1146	0	0	0	2	11	15	1
1085	0	404	0	2	19	16	2
263	471	545	0	2	994	17	9
0	0	0	0	2	9917	18	9
339	946	0	0	2	6	19	2
0	794	0	354	2	42	20	0
604	735	0	0	2	17	21	2
175	0	0	1323	2	34	22	2
638	856	0	0	2	35	23	2
1038	0	0	156	2	9912	24	9
79	985	0	0	2	10	25	1
867	0	625	0	2	2	26	1
188	1022	0	0	2	39	27	0
0	1163	220	0	2	998	28	9
1032	0	0	0	2	43	29	0
1279	0	0	213	2	54	30	1
927	0	0	81	2	9922	31	9
0	403	400	0	2	9911	32	9
0	0	117	360	2	9913	33	9
778	0	0	3	2	13	34	2
1494	0	0	0	2	15	35	1
1214	277	0	0	2	41	36	0
783	0	141	0	2	9914	37	9
659	835	0	0	2	16	38	0
1496	0	0	0	2	52	39	1
298	0	923	0	2	9910	40	9
1495	0	0	0	2	29	41	2
1494	0	0	0	2	32	42	2
633	787	0	0	2	30	43	2
364	0	107	0	2	9924	44	9
424	864	0	0	2	997	45	9
704	533	0	258	2	38	46	0
987	0	212	0	2	9920	47	9
0	1305	0	0	2	40	48	0
0	0	193	0	2	999	49	9
744	750	0	0	2	37	50	0
646	0	0	0	2	9916	51	9
0	1496	0	0	2	1	52	0
633	468	0	0	2	47	53	1
1408	0	86	0	2	31	54	2
485	317	477	0	2	28	55	2
0	1496	0	0	2	45	56	0
225	0	0	0	2	7	57	1
0	1494	0	0	2	23	58	0
776	414	0	0	2	18	59	0
1354	0	0	0	2	48	60	1
1498	0	0	0	2	9923	61	9
0	0	1492	0	2	9921	62	9
126	1151	0	0	2	20	63	0
0	0	483	375	2	9918	64	9
509	506	0	224	2	51	65	1
296	142	840	0	2	996	66	9
805	449	0	0	2	12	67	0
1494	0	0	0	2	24	68	1
0	600	0	0	2	9915	69	9
1496	0	0	0	2	25	70	0
1496	0	0	0	2	53	71	1
1262	0	0	0	2	36	72	2
1496	0	0	0	2	21	73	2
242	0	0	0	2	46	74	1
0	0	0	1496	2	991	75	9
1473	0	0	0	2	33	76	2
1320	0	0	0	2	14	77	1
1084	0	194	0	2	9919	78	9
1496	0	0	0	2	4	79	0
1493	0	0	0	2	3	80	1
248	0	0	0	2	26	81	1
794	472	0	220	3	991	1	9
0	0	851	334	3	992	2	9
1209	285	0	0	3	993	3	9
1496	0	0	0	3	22	4	2
1338	0	0	0	3	49	5	1
1097	397	0	0	3	995	6	9
829	288	0	375	3	27	7	2
1500	0	0	0	3	44	8	0
1498	0	0	0	3	8	9	2
471	488	313	218	3	992	10	9
670	826	0	0	3	9	11	0
1496	0	0	0	3	5	12	2
448	519	0	0	3	993	13	9
1236	0	69	0	3	50	14	1
209	1283	0	0	3	11	15	1
1201	63	0	0	3	19	16	2
757	0	148	0	3	994	17	9
244	102	614	0	3	9917	18	9
807	0	300	386	3	6	19	2
463	301	0	0	3	42	20	0
1496	0	0	0	3	17	21	2
536	0	0	0	3	34	22	2
924	0	0	0	3	35	23	2
376	325	192	334	3	9912	24	9
560	752	0	0	3	10	25	1
383	487	342	0	3	2	26	1
1496	0	0	0	3	39	27	0
0	659	12	0	3	998	28	9
1272	0	0	0	3	43	29	0
805	0	0	0	3	54	30	1
636	0	440	0	3	9922	31	9
0	0	0	0	3	9911	32	9
0	0	0	608	3	9913	33	9
443	235	358	455	3	13	34	2
1495	0	0	0	3	15	35	1
1155	342	0	0	3	41	36	0
0	0	0	0	3	9914	37	9
1189	109	0	0	3	16	38	0
1439	0	0	0	3	52	39	1
0	0	0	1496	3	9910	40	9
1073	196	0	224	3	29	41	2
358	855	0	129	3	32	42	2
1110	0	0	0	3	30	43	2
0	0	0	0	3	9924	44	9
1072	0	424	0	3	997	45	9
856	0	0	507	3	38	46	0
0	0	0	259	3	9920	47	9
467	513	267	0	3	40	48	0
461	0	369	666	3	999	49	9
0	0	0	0	3	37	50	0
488	462	186	0	3	9916	51	9
872	567	0	0	3	1	52	0
0	0	0	0	3	47	53	1
1500	0	0	0	3	31	54	2
145	546	0	0	3	28	55	2
547	947	0	0	3	45	56	0
1496	0	0	0	3	7	57	1
210	351	349	441	3	23	58	0
942	550	0	0	3	18	59	0
1375	0	119	0	3	48	60	1
1322	0	0	174	3	9923	61	9
0	0	0	0	3	9921	62	9
0	374	327	0	3	20	63	0
0	0	1370	0	3	9918	64	9
0	0	8	936	3	51	65	1
0	0	0	803	3	996	66	9
594	902	0	0	3	12	67	0
1145	0	0	0	3	24	68	1
0	0	0	0	3	9915	69	9
505	0	0	0	3	25	70	0
633	0	0	0	3	53	71	1
1207	0	0	0	3	36	72	2
1494	0	0	0	3	21	73	2
1492	0	0	0	3	46	74	1
0	646	0	0	3	991	75	9
1159	337	0	0	3	33	76	2
0	1499	0	0	3	14	77	1
1255	240	0	0	3	9919	78	9
1496	0	0	0	3	4	79	0
970	0	0	0	3	3	80	1
0	0	0	0	3	26	81	1
1252	0	0	0	4	991	1	9
0	0	0	798	4	992	2	9
671	208	0	610	4	993	3	9
1087	0	0	0	4	22	4	2
286	1204	0	0	4	49	5	1
750	0	0	741	4	995	6	9
701	789	0	0	4	27	7	2
862	0	0	630	4	44	8	0
1182	0	0	306	4	8	9	2
0	258	727	335	4	992	10	9
745	117	396	0	4	9	11	0
1490	0	0	0	4	5	12	2
1009	0	0	481	4	993	13	9
1187	303	0	0	4	50	14	1
1106	386	0	0	4	11	15	1
1492	0	0	0	4	19	16	2
0	0	677	817	4	994	17	9
0	166	313	0	4	9917	18	9
1299	195	0	0	4	6	19	2
569	921	0	0	4	42	20	0
1495	0	0	0	4	17	21	2
1371	0	0	0	4	34	22	2
837	372	281	0	4	35	23	2
408	297	372	414	4	9912	24	9
231	1261	0	0	4	10	25	1
861	0	0	0	4	2	26	1
229	1267	0	0	4	39	27	0
170	0	660	662	4	998	28	9
1284	20	0	0	4	43	29	0
577	244	0	668	4	54	30	1
4	0	474	248	4	9922	31	9
105	123	1264	0	4	9911	32	9
557	0	0	505	4	9913	33	9
443	305	548	195	4	13	34	2
1491	0	0	0	4	15	35	1
0	939	310	242	4	41	36	0
570	0	0	737	4	9914	37	9
0	255	265	332	4	16	38	0
1496	0	0	0	4	52	39	1
865	605	0	23	4	9910	40	9
1008	0	55	0	4	29	41	2
831	0	185	0	4	32	42	2
950	293	0	246	4	30	43	2
0	0	465	652	4	9924	44	9
213	0	418	418	4	997	45	9
730	766	0	0	4	38	46	0
289	0	471	138	4	9920	47	9
488	517	0	428	4	40	48	0
0	0	0	0	4	999	49	9
