subject,trialID,object,type,compatibility,target_instrument,target_animal,images,which_loc,instrument_loc,animal_loc,first.move.type,is.mouse.instrument
5564e577fdf99b6c901a75a6,1,CriticalTrials/1stList/CTrial1/necklace.png,enter,instrument,#jspsych-free-sort-draggable-1,#jspsych-free-sort-draggable-0,,1,1,0,instrument,1
5564e577fdf99b6c901a75a6,2,CriticalTrials/1stList/CTrial1/umbrella.png,enter,instrument,#jspsych-free-sort-draggable-2,#jspsych-free-sort-draggable-3,,1,2,3,other,0
5564e577fdf99b6c901a75a6,3,CriticalTrials/1stList/CTrial10/book.png,enter,equibiased,#jspsych-free-sort-draggable-1,#jspsych-free-sort-draggable-0,,1,1,0,instrument,1
5564e577fdf99b6c901a75a6,4,CriticalTrials/1stList/CTrial10/lollipop.png,enter,equibiased,#jspsych-free-sort-draggable-3,#jspsych-free-sort-draggable-1,,3,3,1,instrument,1
5564e577fdf99b6c901a75a6,5,CriticalTrials/1stList/CTrial11/flower.png,enter,equibiased,#jspsych-free-sort-draggable-2,#jspsych-free-sort-draggable-0,,3,2,0,other,0
5564e577fdf99b6c901a75a6,6,CriticalTrials/1stList/CTrial11/pig_flower.png,enter,equibiased,#jspsych-free-sort-draggable-3,#jspsych-free-sort-draggable-2,,2,3,2,animal,0
5564e577fdf99b6c901a75a6,7,CriticalTrials/1stList/CTrial12/leopard_hat.png,enter,equibiased,#jspsych-free-sort-draggable-1,#jspsych-free-sort-draggable-0,,0,1,0,animal,0
5564e577fdf99b6c901a75a6,8,CriticalTrials/1stList/CTrial12/toothbrush.png,enter,equibiased,#jspsych-free-sort-draggable-3,#jspsych-free-sort-draggable-2,,3,3,2,instrument,1
5564e577fdf99b6c901a75a6,9,CriticalTrials/1stList/CTrial13/bunny_feather.png,enter,equibiased,#jspsych-free-sort-draggable-1,#jspsych-free-sort-draggable-0,,0,1,0,animal,0
5564e577fdf99b6c901a75a6,10,CriticalTrials/1stList/CTrial13/sponge.png,enter,equibiased,#jspsych-free-sort-draggable-2,#jspsych-free-sort-draggable-3,,2,2,3,instrument,1
5564e577fdf99b6c901a75a6,11,CriticalTrials/1stList/CTrial14/flower.png,enter,equibiased,#jspsych-free-sort-draggable-1,#jspsych-free-sort-draggable-0,,1,1,0,instrument,1
5564e577fdf99b6c901a75a6,12,CriticalTrials/1stList/CTrial14/leopard_pencil.png,enter,equibiased,#jspsych-free-sort-draggable-3,#jspsych-free-sort-draggable-2,,2,3,2,animal,0
5564e577fdf99b6c901a75a6,13,CriticalTrials/1stList/CTrial15/camel_straw.png,enter,equibiased,#jspsych-free-sort-draggable-1,#jspsych-free-sort-draggable-0,,0,1,0,animal,0
5564e577fdf99b6c901a75a6,14,CriticalTrials/1stList/CTrial15/penguin_tube.png,enter,equibiased,#jspsych-free-sort-draggable-3,#jspsych-free-sort-draggable-2,,2,3,2,animal,0
5564e577fdf99b6c901a75a6,15,CriticalTrials/1stList/CTrial16/bear_candle.png,enter,equibiased,#jspsych-free-sort-draggable-0,#jspsych-free-sort-draggable-2,,2,0,2,animal,0
5564e577fdf99b6c901a75a6,16,CriticalTrials/1stList/CTrial16/pen.png,enter,equibiased,#jspsych-free-sort-draggable-3,#jspsych-free-sort-draggable-2,,3,3,2,instrument,1
